countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Colombia,7006,0,314,0,1551,0,5141,118,108950,4.5,22.1
Australia,6783,16,93,0,5789,44,901,28,611583,1.4,85.3
Panama,6720,188,192,4,622,46,5906,85,31895,2.9,9.3
Malaysia,6176,105,103,0,4326,116,1747,31,168784,1.7,70.0
South Africa,5951,0,116,0,2382,0,3453,36,217522,1.9,40.0
Egypt,5895,0,406,0,1460,0,4029,0,90000,6.9,24.8
Finland,5176,125,218,0,3000,0,1958,49,101750,4.2,58.0
Morocco,4569,0,171,0,1083,0,3315,1,37006,3.7,23.7
Argentina,4532,0,225,0,1292,0,3015,157,61530,5.0,28.5
Kuwait,4377,0,30,0,1602,0,2745,70,179000,0.7,36.6
Algeria,4154,0,453,0,1821,0,1880,22,6500,10.9,43.8
Moldova,3980,0,122,0,1272,0,2586,237,11763,3.1,32.0
Luxembourg,3802,0,92,0,3213,0,497,23,44895,2.4,84.5
Kazakhstan,3785,188,25,0,940,18,2820,40,268534,0.7,24.8
Bahrain,3170,0,8,0,1555,0,1607,1,134082,0.3,49.1
Thailand,2966,6,54,0,2732,13,180,61,178083,1.8,92.1
Hungary,2942,79,335,12,625,16,1982,52,79551,11.4,21.2
Greece,2612,0,140,0,1374,0,1098,36,77251,5.4,52.6
Oman,2483,36,11,0,750,255,1722,17,40459,0.4,30.2
Afghanistan,2469,134,72,4,331,21,2066,7,11068,2.9,13.4
Armenia,2273,125,33,0,1010,33,1230,10,23142,1.5,44.4
Nigeria,2170,0,68,0,351,0,1751,2,15759,3.1,16.2
Iraq,2153,0,94,0,1414,0,645,0,95399,4.4,65.7
Uzbekistan,2094,8,9,0,1229,17,856,8,242536,0.4,58.7
Croatia,2085,0,75,0,1421,0,589,17,36917,3.6,68.2
Ghana,2074,0,17,0,212,0,1845,4,113497,0.8,10.2
Azerbaijan,1854,0,25,0,1365,0,464,17,146630,1.3,73.6
Cameroon,1832,0,61,0,934,0,837,12,0,3.3,51.0
Iceland,1798,0,10,0,1689,0,99,0,49135,0.6,93.9
Bosnia and Herzegovina,1781,0,70,0,755,0,956,4,32178,3.9,42.4
Estonia,1699,5,53,1,256,3,1390,7,54464,3.1,15.1
Bulgaria,1588,33,69,1,287,11,1232,43,47636,4.3,18.1
Cuba,1537,0,64,0,714,0,759,10,49409,4.2,46.5
Guinea,1537,0,7,0,342,0,1188,0,0,0.5,22.3
North Macedonia,1494,0,81,0,807,0,606,13,16798,5.4,54.0
New Zealand,1485,6,20,1,1263,11,202,0,145589,1.3,85.1
Slovenia,1434,0,92,0,233,0,1109,22,52948,6.4,16.2
Slovakia,1407,4,24,1,608,50,775,5,94770,1.7,43.2
Lithuania,1406,7,46,1,632,38,728,17,138270,3.3,45.0
Ivory Coast,1333,0,15,0,597,0,721,0,10073,1.1,44.8
Bolivia,1229,62,66,4,134,2,1029,3,5791,5.4,10.9
